id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-0b4c54264d722ac57,049450565398,,vCPU,WIN-8AT71V91M96,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201e857-961b-a9a4-d14c-ed02cace4364,VMWARE_VM,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40,
d-server-0f30491f160b1f190,049450565398,,vCPU,CHIPRO-APPS.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42019d00-e943-f3c3-e4ed-5d77c6063846,VMWARE_VM,ACTIVE,2018-06-22 17:17:22,2018-09-20 14:52:39,
d-server-0f94edeeb1f6d63c6,049450565398,,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,,VMware ESXi,vmnix-x86,VMware ESXi 5.5.0 build-3116895,39363436-3430-584d-5132-333430313058,VMWARE_HOST,ACTIVE,2018-06-22 17:17:11,2018-09-20 14:52:39,
d-server-0a65d8aa67b873d1f,049450565398,,vCPU,NYD-OB7F.global.com,VMware ESXi,windowsGuest,Microsoft Windows 7 (64-bit),42018cbf-5bb1-a56f-5432-77ad83a4fb4d,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:32,
d-server-0df465c530e0a3e73,049450565398,,vCPU,NYCFILENB.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42018e43-32f7-8500-6932-2cf2420bd506,VMWARE_VM,ACTIVE,2018-06-22 17:18:33,2018-09-05 17:36:00,
d-server-05ebc9587f7ffffc0,049450565398,,vCPU,SQLUSIDCOPS01ST.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420195df-2ee0-4b26-31b9-3868f6650a56,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41,
d-server-0846fca6f787cadc5,049450565398,,vCPU,NAIDCOBWF1.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420160d0-7287-b3d1-f4fe-e442e028d6e7,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33,
d-server-0df465c530e0a3e73,049450565398,,vCPU,nycfp485.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),564dd85e-d768-4907-8f25-d889547bf13d,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-05 17:36:01,
d-server-01bc107816c9f54da,049450565398,,vCPU,NAIDCSCOMSQLDW.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),42018a03-5073-cb98-d897-c65ace523c0f,VMWARE_VM,ACTIVE,2018-06-22 17:18:30,2018-09-20 14:52:42,
d-server-07add7f8b3f063b94,049450565398,,vCPU,NCDHCP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420189c9-b50a-3ebc-8f67-3e3623bd8947,VMWARE_VM,ACTIVE,2018-06-22 17:17:18,2018-09-20 14:52:41,
d-server-033037534e06ffa3d,049450565398,,vCPU,lagdhcp.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42012c3d-b530-4ad8-d514-cd3541ad89d2,VMWARE_VM,ACTIVE,2018-06-22 17:17:16,2018-09-20 14:52:42,
d-server-07400e6cf5c51bd6f,049450565398,,vCPU,CHI-CENTRAL.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42019ba5-2f39-3bd8-77e4-d72c69c09965,VMWARE_VM,ACTIVE,2018-06-22 17:17:22,2018-09-20 14:52:40,
d-server-0399142e859fbe37f,049450565398,,vCPU,NAIDCEPF1,VMware ESXi,linuxGuest,Other 2.6.x Linux (64-bit),4201db07-a5f9-dea1-367b-3d145ad9d72a,VMWARE_VM,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:41,
d-server-01ac7cc9469d83a6d,049450565398,,vCPU,JER-Print01.sscg.local,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420146a9-85f8-ce69-3d4e-3d65892cd3d1,VMWARE_VM,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:40,
d-server-09a0fd86253dc1183,049450565398,,vCPU,ATLALTIRIS.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201e4bd-f0ab-34b6-ec91-33632216b5a2,VMWARE_VM,ACTIVE,2018-06-22 17:17:15,2018-09-20 14:52:41,
d-server-0f8c31a427140c61a,049450565398,,vCPU,ALABACKUP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201a941-74fe-3444-d801-17d9b84fb0fc,VMWARE_VM,ACTIVE,2018-06-22 17:17:21,2018-09-20 14:52:40,
d-server-000848c3c9553d363,049450565398,,vCPU,,VMware ESXi,,Other Linux (32-bit),42011535-eeea-7a8d-0817-752634bf7def,VMWARE_VM,ACTIVE,2018-06-22 17:17:22,2018-09-20 14:52:40,
d-server-00e8abd6fb0d9123c,049450565398,,vCPU,naidcrelay2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2003 Standard (32-bit),564d6493-1c67-d267-a3a5-6b6b0eb5c95d,VMWARE_VM,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:42,
d-server-05a7fb0c6bb4605a2,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),4201c74c-242a-5dba-d8d7-81689cae1cf5,VMWARE_VM,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:37,
