accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic5,ac:16:2d:9b:82:31,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic6,ac:16:2d:9b:82:32,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic1,2c:44:fd:85:cd:35,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic0,2c:44:fd:85:cd:34,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic3,2c:44:fd:85:cd:37,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic2,2c:44:fd:85:cd:36,,,,,,,,ACTIVE,,
049450565398,d-server-0e2eb2a2a072ad8d3,vmnic4,ac:16:2d:9b:82:30,,,,,,,,ACTIVE,,
049450565398,d-server-00a62577703bcb714,,00:50:56:81:73:a2,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-00a62577703bcb714,,00:50:56:81:4b:d1,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0c9ad6c747dd0e2c8,,00:50:56:81:20:1e,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-0c9ad6c747dd0e2c8,,00:50:56:81:2c:41,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-05839a5073d0f95fc,vmnic3,2c:76:8a:5d:b1:b7,,,,,,,,ACTIVE,,
049450565398,d-server-05839a5073d0f95fc,vmnic0,2c:76:8a:5d:b1:b4,,,,,,,,ACTIVE,,
049450565398,d-server-05839a5073d0f95fc,vmnic1,2c:76:8a:5d:b1:b5,,,,,,,,ACTIVE,,
